FNV	A32	DJB	LOSE
1036	969	1072	1226
1031	1041	1030	1226
984	981	1015	1177
924	1023	1008	1198
1025	991	1002	1192
1027	997	1037	1143
955	1001	1042	1175
977	926	1008	1229
941	988	1031	1223
945	985	985	1212
1037	1033	980	1158
989	954	1052	1143
968	1011	965	1121
926	973	1052	1172
1019	988	985	1118
1002	1028	998	1176
1000	981	977	1213
1044	986	1001	1115
982	981	1001	1192
986	1007	1030	1149
997	1007	972	1218
987	1043	1038	1132
1055	958	977	1163
1057	1016	1023	1188
1015	944	919	1132
1023	976	989	1139
979	1036	986	1134
1015	933	971	1188
1064	983	1008	1157
1019	1039	994	1140
965	1000	974	1222
1013	991	1033	1128
977	1006	1026	1182
1063	1057	993	1204
985	940	1022	1188
1053	970	967	1205
1060	1001	1034	1120
962	984	959	1178
981	1062	1004	1139
939	1029	923	1187
919	967	1032	1180
980	992	1019	1205
1028	992	1004	1151
989	995	1001	1167
987	1060	1034	1163
993	997	933	1093
1063	950	963	1204
986	1001	1004	1238
963	970	966	1192
1004	1058	1009	1189
1017	1033	984	1159
1014	965	966	1165
1002	1016	996	1151
976	965	940	1228
978	1033	997	1202
984	1024	991	1197
995	1020	979	798
1033	1051	1031	820
1004	1004	966	790
1045	1031	984	790
1023	1058	998	812
1052	936	1013	824
1014	1055	1005	770
907	1013	985	755
999	937	1007	766
1043	1011	1039	730
1005	1050	1000	767
1018	932	964	778
994	964	978	762
989	1038	1019	763
1026	1015	1011	808
1002	1029	946	737
943	1024	1011	767
976	995	1007	751
1027	972	1083	769
990	997	1024	765
977	987	1005	818
1041	1002	990	801
1041	982	1018	743
998	970	956	788
1030	979	961	779
1000	977	1022	771
1057	1013	1003	771
1024	959	963	744
987	1025	989	826
1036	1017	1037	839
1050	987	988	753
976	990	1049	753
1000	1078	1000	766
977	982	1038	819
991	979	1056	731
982	984	987	786
947	1006	1060	771
1026	1028	996	747
1012	981	966	786
984	1014	971	781
943	1027	977	816
1004	1021	980	793
986	1008	1004	746
956	1035	1012	764
