FNV	A32	DJB
1017	997	966
928	1006	957
940	1025	1012
982	1014	1005
1007	954	968
991	1055	1043
1040	982	1012
977	998	996
1036	1035	978
987	977	968
1001	985	991
1046	975	993
917	950	1036
1019	1060	1000
994	1048	980
1002	980	978
981	1006	987
1008	968	1000
1032	993	985
983	956	961
985	971	984
1036	970	1014
927	984	1004
943	994	1007
972	959	1039
1062	994	1029
1044	1032	988
1029	948	1010
1003	1000	989
987	1051	998
1034	1023	999
1007	1035	1012
1048	1003	939
1033	965	1008
975	964	995
1034	1030	967
981	1021	981
988	1030	985
983	982	1026
1065	989	1002
998	1058	1041
1016	1013	1061
970	1020	1022
1024	1025	1008
1014	998	965
998	1045	1017
1037	971	1076
925	961	969
1000	985	1002
942	993	1001
988	1012	963
1018	978	1000
1031	1034	966
1040	1008	1056
1066	1019	1042
987	1030	979
995	996	999
1022	1014	1005
992	1024	1034
1006	1002	969
990	933	1017
943	1006	963
946	1073	1019
994	1017	958
1012	986	1006
1028	958	960
990	1048	989
1022	1057	1027
984	1038	976
999	993	993
1037	1019	987
1019	1026	1040
1042	1011	963
1065	987	1012
1034	960	942
1033	1008	979
1000	982	1025
1017	1025	1015
1004	987	1045
997	970	1053
1027	967	979
1042	1027	1002
951	912	1002
970	987	1014
967	966	1023
1009	969	1046
951	1023	977
1026	996	956
951	965	1004
978	996	986
1022	984	963
990	1009	1036
1016	1019	1002
1011	1023	1064
934	985	988
921	997	994
1022	980	979
982	1048	998
982	1001	1015
999	967	1036
