FNV	A32	DJB	DEFAULT	LOSE	SDBM
963	1044	1079	946	1175	1006
989	981	981	940	1221	1012
1014	1014	998	1030	1135	973
1041	1023	987	1028	1153	1033
1020	1018	1068	990	1141	954
1015	932	999	1025	1168	990
1024	966	1005	1012	1132	986
940	1029	964	1007	1171	1044
1014	1010	1026	980	1116	1003
1040	997	994	1018	1193	1051
1036	1038	943	1029	1191	964
1005	948	974	1012	1164	1000
974	1039	1018	1052	1171	986
1004	943	1035	1036	1216	1022
1066	992	1009	935	1140	1018
963	1014	1066	1078	1159	1011
968	1015	955	1005	1136	964
1004	953	980	965	1183	1022
974	1027	973	1006	1200	984
966	976	998	980	1193	958
988	1026	987	1048	1143	986
996	1045	986	1030	1156	993
1042	1031	1007	1019	1121	995
986	999	977	954	1120	980
1016	1032	959	1031	1236	959
1034	1029	956	994	1175	998
1033	1029	988	984	1209	1001
995	1036	998	967	1218	1024
975	1020	1000	974	1150	1048
977	1021	967	1027	1152	1028
1018	992	1017	1014	1198	1091
978	1039	964	1004	1189	957
1052	983	1045	948	1169	1029
995	956	1011	1001	1190	958
995	1009	964	988	1191	984
947	979	1049	917	1113	989
988	1003	1016	1001	1179	1014
971	1073	1049	1018	1154	1050
995	962	1014	992	1174	988
1045	1019	986	960	1217	998
1044	957	979	1028	1191	1009
967	989	950	998	1162	959
963	954	1039	1008	1120	980
1042	995	958	1010	1205	1020
1018	994	1055	1013	1138	946
1014	924	1009	1073	1222	1010
1018	1037	1086	968	1200	954
946	1019	1002	989	1213	993
1031	998	996	1024	1217	1024
1000	1010	981	1001	1200	1029
1031	989	1042	1047	1159	988
976	937	1043	1045	1201	1043
1035	970	997	1047	1157	990
983	976	986	1022	1151	1043
985	1015	1051	1084	1140	1008
972	927	978	970	1176	1048
979	990	1014	969	752	1018
1012	962	975	965	761	1015
952	958	1012	1039	828	1056
951	1063	1040	1004	760	1032
1005	997	1029	972	807	956
1018	978	972	1049	819	978
1034	983	1037	972	773	1021
1006	959	995	1029	768	985
1037	1029	939	1025	766	1018
984	1044	1027	981	827	1024
1013	1043	1009	978	818	984
1017	1031	988	1020	783	941
1006	996	944	999	793	1018
1014	948	973	938	760	975
1005	982	1025	1064	776	1000
981	965	1018	932	807	1073
1000	1063	979	1045	756	983
1006	1010	929	982	751	992
1017	1017	965	995	733	945
1009	1022	998	970	831	1006
958	1013	972	997	786	1003
986	1001	1060	1016	749	1032
1014	1028	1017	988	756	1007
921	981	1006	963	812	981
1048	977	997	992	748	954
1018	1014	963	1016	792	1005
1049	1036	956	988	764	954
989	1012	961	924	787	978
924	979	1041	999	751	927
969	938	1023	963	833	1031
1025	979	1021	1061	794	956
1017	975	956	1001	800	997
997	1045	989	977	766	1033
986	1003	937	997	787	1040
991	1053	1030	961	835	992
1022	951	1024	1017	780	992
946	981	1096	1022	731	1009
939	997	963	1039	804	1001
1004	1053	985	1021	748	955
1022	1003	990	949	803	968
1035	997	996	973	754	1054
946	1005	1023	1027	752	1034
1035	991	985	917	782	971
1042	1015	997	992	753	1011

